17:01:24.956 -> HumiTemp: 23.30 Celsius
17:01:24.956 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:27.778 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:29.788 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:31.813 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:33.849 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:35.876 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:37.904 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:39.939 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:41.966 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:43.984 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:46.010 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:48.038 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:50.078 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:52.100 -> Humidity: 36.00 %, Temp: 23.20 Celsius
17:02:54.126 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:56.157 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:58.169 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:00.189 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:02.219 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:04.251 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:06.287 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:08.294 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:10.323 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:12.363 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:14.394 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:16.405 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:18.425 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:20.459 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:22.478 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:24.529 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:26.554 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:28.582 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:30.615 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:32.612 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:34.661 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:36.693 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:38.702 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:40.732 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:42.759 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:44.795 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:46.821 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:48.825 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:50.865 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:52.903 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:54.921 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:03:56.951 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:03:58.953 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:00.998 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:03.030 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:05.055 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:07.089 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:09.098 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:04:11.138 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:13.163 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:04:15.194 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:17.201 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:19.243 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:04:21.254 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:23.279 -> Humidity: 36.00 %, Temp: 23.00 Celsius
17:04:25.328 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:27.324 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:04:29.356 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:04:31.391 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:33.414 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:35.442 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:37.481 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:39.485 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:41.545 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:43.556 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:45.586 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:47.619 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:49.619 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:51.664 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:53.672 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:55.695 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:04:57.726 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:04:59.754 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:01.794 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:03.818 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:05:05.846 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:07.870 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:09.911 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:11.938 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:13.961 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:15.988 -> Humidity: 35.00 %, Temp: 23.10 Celsius
17:05:18.022 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:20.020 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:22.047 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:24.086 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:26.117 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:28.128 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:30.164 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:32.200 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:34.225 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:36.226 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:38.262 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:40.295 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:42.317 -> Humidity: 35.00 %, Temp: 23.00 Celsius
17:05:44.343 -> Humidity: 35.00 %, Temp: 23.00 Celsius
